#device=ESP32+AD8232
#cols=t_ms,adc,lead_off
510674,41,0
510678,14,0
510682,271,0
510686,352,0
510690,130,0
510694,11,0
510698,206,0
510702,343,0
510706,134,0
510710,0,0
510714,89,0
510718,295,0
510722,239,0
510726,0,0
510730,0,0
510734,161,0
510738,49,0
510742,0,0
510746,0,0
510750,92,0
510754,68,0
510758,0,0
510762,0,0
510766,73,0
510770,71,0
510774,0,0
510778,0,0
510782,39,0
510786,88,0
510790,0,0
510794,0,0
510798,80,0
510802,237,0
510806,70,0
510810,0,0
510814,156,0
510818,358,0
510822,211,0
510826,0,0
510830,0,0
510834,115,0
510838,39,0
510842,0,0
510846,0,0
510850,142,0
510854,129,0
510858,0,0
510862,0,0
510866,67,0
510870,133,0
510874,0,0
510878,0,0
510882,112,0
510886,185,0
510890,0,0
510894,0,0
510898,35,0
510902,127,0
510906,0,0
510910,0,0
510914,69,0
510918,183,0
510922,0,0
510926,0,0
510930,0,0
510934,147,0
510938,21,0
510942,0,0
510946,0,0
510950,138,0
510954,99,0
510958,0,0
510962,0,0
510966,56,0
510970,21,0
510974,0,0
510978,0,0
510982,77,0
510986,161,0
510990,0,0
510994,0,0
510998,44,0
511002,151,0
511006,0,0
511010,0,0
511014,0,0
511018,0,0
511022,0,0
511026,0,0
511030,0,0
511034,0,0
511038,0,0
511042,0,0
511046,0,0
511050,0,0
511054,0,0
511058,0,0
511062,0,0
511066,14,0
511070,31,0
511074,0,0
511078,0,0
511082,72,0
511086,149,0
511090,0,0
511094,0,0
511098,72,0
511102,226,0
511106,39,0
511110,0,0
511114,88,0
511118,363,0
511122,260,0
511126,73,0
511130,327,0
511134,702,0
511138,571,0
511142,190,0
511146,186,0
511150,388,0
511154,319,0
511158,11,0
511162,0,0
511166,214,0
511170,225,0
511174,0,0
511178,0,0
511182,5,0
511186,2,0
511190,0,0
511194,0,0
511198,0,0
511202,0,0
511206,0,0
511210,0,0
511214,0,0
511218,62,0
511222,0,0
511226,0,0
511230,0,0
511234,127,0
511238,31,0
511242,0,0
511246,0,0
511250,196,0
511254,185,0
511258,0,0
511262,0,0
511266,296,0
511270,411,0
511274,193,0
511278,194,0
511282,539,0
511286,726,0
511290,545,0
511294,467,0
511298,680,0
511302,752,0
511306,452,0
511310,134,0
511314,257,0
511318,414,0
511322,168,0
511326,0,0
511330,0,0
511334,177,0
511338,38,0
511342,0,0
511346,0,0
511350,134,0
511354,97,0
511358,0,0
511362,0,0
511366,145,0
511370,180,0
